Treatment,Rpf_Concentration,Collection_Date,Rep_Number,Colony_Counts,Unique_Colonies,CFU,Log10
Water,0,9/18/2016,1,30,5,300000000,8.477121255
Water,0,9/18/2016,2,14,4,140000000,8.146128036
Water,0,9/18/2016,3,20,8,200000000,8.301029996
Water,0,9/18/2016,4,16,8,160000000,8.204119983
Water,0,9/18/2016,5,11,3,110000000,8.041392685
Rpf,1.45,9/18/2016,1,40,5,400000000,8.602059991
Rpf,1.45,9/18/2016,2,29,5,290000000,8.462397998
Rpf,1.45,9/18/2016,3,39,7,390000000,8.591064607
Rpf,1.45,9/18/2016,4,32,5,320000000,8.505149978
Rpf,1.45,9/18/2016,5,46,12,460000000,8.662757832
Rpf,2.9,9/18/2016,1,11,3,110000000,8.041392685
Rpf,2.9,9/18/2016,2,28,4,280000000,8.447158031
Rpf,2.9,9/18/2016,3,19,3,190000000,8.278753601
Rpf,2.9,9/18/2016,4,30,3,300000000,8.477121255
Rpf,2.9,9/18/2016,5,34,3,340000000,8.531478917
Rpf,5.8,9/18/2016,1,36,5,360000000,8.556302501
Rpf,5.8,9/18/2016,2,32,3,320000000,8.505149978
Rpf,5.8,9/18/2016,3,37,4,370000000,8.568201724
Rpf,5.8,9/18/2016,4,14,4,140000000,8.146128036
Rpf,5.8,9/18/2016,5,35,4,350000000,8.544068044
Rpf,1,10/28/2016,1,408,18,4080000000,9.610660163
Rpf,1,10/28/2016,2,164,15,1640000000,9.214843848
Rpf,1,10/28/2016,3,200,18,2000000000,9.301029996
Rpf,1,10/28/2016,4,236,17,2360000000,9.372912003
Rpf,1,10/28/2016,5,200,17,2000000000,9.301029996
Rpf,2,10/28/2016,1,480,8,4800000000,9.681241237
Rpf,2,10/28/2016,2,220,10,2200000000,9.342422681
Rpf,2,10/28/2016,3,208,9,2080000000,9.318063335
Rpf,2,10/28/2016,4,172,11,1720000000,9.235528447
Rpf,2,10/28/2016,5,184,11,1840000000,9.264817823
Water,0,11/6/2016,1,124,7,124000,5.093421685
Water,0,11/6/2016,2,224,7,224000,5.350248018
Water,0,11/6/2016,3,384,7,384000,5.584331224
Water,0,11/6/2016,4,448,7,448000,5.651278014
Water,0,11/6/2016,5,112,6,112000,5.049218023
IgG+Rpf,0,11/6/2016,1,216,7,NA,NA
IgG+Rpf,0,11/6/2016,2,348,11,NA,NA
IgG+Rpf,0,11/6/2016,3,380,11,NA,NA
IgG+Rpf,0,11/6/2016,4,30,3,NA,NA
IgG+Rpf,0,11/6/2016,5,24,3,NA,NA
Rpf,4.27,11/6/2016,1,26,3,26000,4.414973348
Rpf,4.27,11/6/2016,2,24,2,24000,4.380211242
Rpf,4.27,11/6/2016,3,25,2,25000,4.397940009
Rpf,4.27,11/6/2016,4,40,2,40000,4.602059991
Rpf,4.27,11/6/2016,5,176,8,176000,5.245512668
Water,0,11/13/2016,1,800,4,800000,5.903089987
Water,0,11/13/2016,2,400,4,400000,5.602059991
Water,0,11/13/2016,3,11,3,11000,4.041392685
Water,0,11/13/2016,4,300,5,300000,5.477121255
Water,0,11/13/2016,5,300,5,300000,5.477121255
Rpf,0.5,11/13/2016,1,400,4,400000,5.602059991
Rpf,0.5,11/13/2016,2,800,6,800000,5.903089987
Rpf,0.5,11/13/2016,3,500,7,500000,5.698970004
Rpf,0.5,11/13/2016,4,336,7,336000,5.526339277
Rpf,0.5,11/13/2016,5,400,8,400000,5.602059991
Rpf,3.415,11/13/2016,1,200,7,200000,5.301029996
Rpf,3.415,11/13/2016,2,400,6,400000,5.602059991
Rpf,3.415,11/13/2016,3,600,8,600000,5.77815125
Rpf,3.415,11/13/2016,4,240,4,240000,5.380211242
Rpf,3.415,11/13/2016,5,360,6,360000,5.556302501
Water,0,3/5/2017,1,16,3,1.60E+10,1.02E+01
Water,0,3/5/2017,2,9,4,9.00E+09,9.95E+00
Water,0,3/5/2017,3,9,3,9.00E+09,9.95E+00
Water,0,3/5/2017,4,7,4,7.00E+09,9.85E+00
Water,0,3/5/2017,5,32,5,3.20E+10,1.05E+01
