Treatment,Rpf_Concentration,Collection_Date,Rep_Number,Colony_Counts,Unique_Colonies,CFU,Log10
Negative control,0,3/5/2017,1,20,4,2.00E+10,NA
Negative control,0,3/5/2017,2,57,5,5.70E+10,NA
Negative control,0,3/5/2017,3,100,4,1.00E+11,NA
Negative control,0,3/5/2017,4,33,4,3.30E+10,NA
Negative control,0,3/5/2017,5,50,5,5.00E+10,NA
Rpf,0.5,3/5/2017,1,12,6,1.20E+10,1.01E+01
Rpf,0.5,3/5/2017,2,22,5,2.20E+10,1.03E+01
Rpf,0.5,3/5/2017,3,13,6,1.30E+10,1.01E+01
Rpf,0.5,3/5/2017,4,14,4,1.40E+10,1.01E+01
Rpf,0.5,3/5/2017,5,12,2,1.20E+10,1.01E+01
Rpf,1,3/5/2017,1,34,6,3.40E+10,1.05E+01
Rpf,1,3/5/2017,2,9,6,9.00E+09,9.95E+00
Rpf,1,3/5/2017,3,18,5,1.80E+10,1.03E+01
Rpf,1,3/5/2017,4,15,3,1.50E+10,1.02E+01
Rpf,1,3/5/2017,5,10,5,1.00E+10,1.00E+01
Rpf,1.5,3/5/2017,1,25,4,2.50E+10,1.04E+01
Rpf,1.5,3/5/2017,2,21,2,2.10E+10,1.03E+01
Rpf,1.5,3/5/2017,3,39,2,3.90E+10,1.06E+01
Rpf,1.5,3/5/2017,4,12,4,1.20E+10,1.01E+01
Rpf,1.5,3/5/2017,5,13,3,1.30E+10,1.01E+01
Rpf,2,3/5/2017,1,10,6,1.00E+10,NA
Rpf,2,3/5/2017,2,5,4,5.00E+09,NA
Rpf,2,3/5/2017,3,8,6,8.00E+09,NA
Rpf,2,3/5/2017,4,8,2,8.00E+09,NA
Rpf,2,3/5/2017,5,6,3,6.00E+09,NA
Rpf,2.5,3/5/2017,1,5,4,5.00E+09,9.70E+00
Rpf,2.5,3/5/2017,2,8,4,8.00E+09,9.90E+00
Rpf,2.5,3/5/2017,3,5,4,5.00E+09,9.70E+00
Rpf,2.5,3/5/2017,4,7,4,7.00E+09,9.85E+00
Rpf,2.5,3/5/2017,5,21,5,2.10E+10,1.03E+01
Rpf,3,3/5/2017,1,17,7,1.70E+10,1.02E+01
Rpf,3,3/5/2017,2,23,7,2.30E+10,1.04E+01
Rpf,3,3/5/2017,3,29,6,2.90E+10,1.05E+01
Rpf,3,3/5/2017,4,9,5,9.00E+09,9.95E+00
Rpf,3,3/5/2017,5,20,6,2.00E+10,1.03E+01
Rpf,4,3/5/2017,1,51,6,5.10E+10,1.07E+01
Rpf,4,3/5/2017,2,22,8,2.20E+10,1.03E+01
Rpf,4,3/5/2017,3,9,3,9.00E+09,9.95E+00
Rpf,4,3/5/2017,4,17,3,1.70E+10,1.02E+01
Rpf,4,3/5/2017,5,21,4,2.10E+10,1.03E+01
Rpf,5,3/5/2017,1,6,4,6.00E+09,9.78E+00
Rpf,5,3/5/2017,2,16,7,1.60E+10,1.02E+01
Rpf,5,3/5/2017,3,8,3,8.00E+09,9.90E+00
Rpf,5,3/5/2017,4,11,5,1.10E+10,1.00E+01
Rpf,5,3/5/2017,5,7,4,7.00E+09,9.85E+00
Rpf,6,3/5/2017,6,6,4,6.00E+09,9.78E+00
Rpf,6,3/5/2017,7,16,4,1.60E+10,1.02E+01
Rpf,6,3/5/2017,8,10,4,1.00E+10,1.00E+01
Rpf,6,3/5/2017,9,11,4,1.10E+10,1.00E+01
Rpf,6,3/5/2017,10,9,3,9.00E+09,9.95E+00
