Curve	b0	A	umax	L	z	umax.lw	umax.up	umax.lw.FI	umax.up.FI	isolate	treatment	rep
A2	0.0463	0.9926	8.00E-04	814.1503	-4.7049	NA	NA	8.00E-04	8.00E-04	9	Rpf-	4
A3	0.0522	0.6605	9.00E-04	1145.5254	-4.2365	8.00E-04	9.00E-04	8.00E-04	9.00E-04	8	Rpf-	4
A4	0.0716	0.9322	0.0013	810.2987	-3.6816	0.0013	0.0014	0.0013	0.0014	10	Rpf+	1
A5	0.0527	-0.665	9.00E-04	1164.3025	-4.2757	NA	NA	8.00E-04	9.00E-04	8	Rpf+	2
A6	0.0511	0.9699	9.00E-04	818.7641	-4.6169	NA	NA	9.00E-04	9.00E-04	9	Rpf+	2
A7	0.0487	-0.4025	0.001	390.3763	-5.7868	NA	NA	0.001	0.001	11	Rpf-	1
B1	0.0455	1.0615	8.00E-04	793.6138	-4.7302	NA	NA	8.00E-04	8.00E-04	9	Rpf-	3
B2	0.0555	0.3877	0.001	341.7902	-4.1742	9.00E-04	0.0011	0.001	0.0011	11	Rpf+	3
B3	0.0479	0.394	0.001	366.9221	-5.8036	0.001	0.001	0.001	0.001	11	Rpf-	4
B4	0.05	-1.0155	9.00E-04	803.1347	-4.7822	NA	NA	9.00E-04	9.00E-04	9	Rpf+	1
B5	0.0494	0.3989	0.001	349.0082	-3.9815	9.00E-04	0.001	9.00E-04	0.001	11	Rpf+	2
B6	0.0708	0.9188	0.0013	850.502	-3.6127	0.0013	0.0014	0.0013	0.0014	10	Rpf+	2
B7	0.0548	0.7424	0.001	1108.9001	-4.2292	9.00E-04	0.001	0.001	0.001	8	Rpf+	3
B8	0.0678	0.7968	0.0012	792.7999	-4.2284	0.0012	0.0013	0.0012	0.0013	10	Rpf-	3
C1	0.0521	0.6935	9.00E-04	1170.0193	-4.3189	8.00E-04	9.00E-04	8.00E-04	9.00E-04	8	Rpf-	3
C2	0.0335	-0.0405	0	-2.0049	-3.2852	NA	NA	0	0	7	Rpf+	2
C3	0.0529	0.9971	0.0022	789.4718	-4.5533	0.0022	0.0023	0.0022	0.0023	12	Rpf-	1
C4	0.0537	-1.069	0.0019	751.5389	-4.5418	0.0018	0.0019	0.0018	0.0019	12	Rpf-	1
C5	0.0514	1.1557	0.0017	2500.7251	-4.0461	0.0016	0.0017	0.0016	0.0017	7	Rpf+	1
C6	0.0521	1.0093	0.0021	778.2901	-4.5825	0.002	0.0021	0.0021	0.0021	12	Rpf+	3
C7	0.054	1.0122	0.0021	785.6688	-4.6721	0.002	0.0021	0.0021	0.0021	12	Rpf+	2
C8	0.0498	0.3956	0.001	359.5129	-4.1066	9.00E-04	0.0011	9.00E-04	0.001	11	Rpf+	1
D1	0.0675	0.844	0.0012	729.5478	-4.08	0.0012	0.0012	0.0012	0.0012	10	Rpf-	1
D2	0.0567	1.0307	0.0021	790.435	-4.748	0.0021	0.0022	0.0021	0.0022	12	Rpf+	4
D3	0.0429	-0.5901	0.0013	846.0694	-5.154	0.0013	0.0013	0.0013	0.0013	7	Rpf-	3
D4	0.063	0.8515	0.0012	717.041	-3.9565	0.0011	0.0012	0.0011	0.0012	10	Rpf-	4
D5	0.0541	-1.1486	0.0018	742.3919	-4.6004	0.0018	0.0018	0.0018	0.0018	12	Rpf-	4
D6	0.0461	0.6433	5.00E-04	2534.6186	-5.037	NA	NA	5.00E-04	5.00E-04	7	Rpf-	2
D7	0.0669	0.8504	0.0011	719.8677	-3.9517	0.0011	0.0012	0.0011	0.0012	10	Rpf-	2
D8	0.0554	0.7419	0.001	1130.7932	-4.2303	0.001	0.001	0.001	0.001	8	Rpf+	4
E1	0.0458	1.0573	8.00E-04	789.3455	-4.6458	NA	NA	8.00E-04	8.00E-04	9	Rpf-	2
E2	0.0557	0.7557	0.001	1133.1941	-4.1761	0.001	0.001	0.001	0.001	8	Rpf+	1
E3	0.0482	0.3874	0.001	366.6333	-5.8051	NA	NA	0.001	0.0011	11	Rpf-	3
E4	0.0597	-1.0515	0.0019	753.3705	-4.4346	0.0019	0.002	0.0019	0.0019	12	Rpf-	3
E5	0.0531	0.6998	9.00E-04	1128.0714	-4.2887	NA	NA	9.00E-04	9.00E-04	8	Rpf-	1
E6	0.0533	1.0499	0.0019	766.1037	-4.4533	0.0019	0.002	0.0019	0.002	12	Rpf-	2
E7	0.0501	-0.387	0.0011	351.1479	-5.76	0.001	0.0011	0.0011	0.0011	11	Rpf-	2
E8	0.0508	1.0161	9.00E-04	801.5624	-4.8545	NA	NA	9.00E-04	9.00E-04	9	Rpf+	3
F1	0.0819	0.7067	0.0014	959.6817	-3.6832	0.0013	0.0015	0.0013	0.0014	10	Rpf+	4
F2	0.042	-0.9926	7.00E-04	3062.2335	-4.9457	NA	NA	7.00E-04	7.00E-04	7	Rpf-	4
F3	0.0468	1.0161	8.00E-04	794.8647	-4.5621	NA	NA	8.00E-04	8.00E-04	9	Rpf-	1
F4	0.0512	0.3981	0.001	365.0603	-4.0793	9.00E-04	0.0011	0.001	0.0011	11	Rpf+	4
F5	0.0532	1.0356	9.00E-04	815.3271	-4.6912	NA	NA	9.00E-04	9.00E-04	9	Rpf+	4
F6	0.0677	0.9226	0.0013	800.9437	-3.6398	0.0012	0.0013	0.0012	0.0013	10	Rpf+	3
F7	0.0527	-0.6718	9.00E-04	1143.776	-4.3247	8.00E-04	9.00E-04	8.00E-04	9.00E-04	8	Rpf-	2
F8	0.0461	0.8403	8.00E-04	2322.6645	-4.5417	NA	NA	8.00E-04	8.00E-04	7	Rpf+	4
