IMG,Date,KBS_strain,Treatment,Rep,Days_incubated,Biomass_pixel,Plate_pixel,Relative_biomass
4482,6/5/2017,701,0,1,2,29808,107264,0.277893795
4484,6/5/2017,701,0,3,2,47698,104544,0.456248087
4486,6/5/2017,701,0,2,2,37012,106140,0.348709252
4488,6/5/2017,701,0.5,1,2,34586,104471,0.33105838
4490,6/5/2017,701,0.5,2,2,71339,104568,0.68222592
4492,6/5/2017,701,0.5,3,2,45429,104455,0.434914557
4494,6/5/2017,701,1.25,1,2,79411,104679,0.758614431
4496,6/5/2017,701,1.25,2,2,82277,104940,0.784038498
4498,6/5/2017,701,1.25,3,2,78651,105109,0.748280357
4500,6/5/2017,701,1.7,1,2,25169,105372,0.23885852
4502,6/5/2017,701,1.7,2,2,55478,104906,0.528835338
4504,6/5/2017,701,1.7,3,2,42689,105039,0.406410952
4506,6/5/2017,701,2.5,1,2,16091,105172,0.152996995
4508,6/5/2017,701,2.5,2,2,24007,105179,0.228248985
4510,6/5/2017,701,2.5,3,2,42079,105202,0.39998289
4512,6/5/2017,701,5,1,2,39496,105327,0.374984572
4514,6/5/2017,701,5,2,2,13240,105477,0.125524996
4516,6/5/2017,701,5,3,2,11248,105268,0.106851085
4518,6/5/2017,706,0,1,2,20128,104944,0.19179753
4520,6/5/2017,706,0,2,2,25744,104935,0.245332825
4522,6/5/2017,706,0,3,2,13034,105189,0.123910295
4524,6/5/2017,706,0.5,1,2,52670,105052,0.50137075
4526,6/5/2017,706,0.5,2,2,64908,105132,0.617395275
4528,6/5/2017,706,0.5,3,2,47648,105229,0.452802935
4530,6/5/2017,706,1.25,1,2,70523,105142,0.670740522
4532,6/5/2017,706,1.25,2,2,67986,104920,0.647979413
4534,6/5/2017,706,1.25,3,2,60653,105150,0.576823585
4536,6/5/2017,706,1.7,1,2,56143,105452,0.532403368
4538,6/5/2017,706,1.7,2,2,35340,105200,0.335931559
4540,6/5/2017,706,1.7,3,2,31244,105265,0.296812806
4542,6/5/2017,706,2.5,1,2,53681,105112,0.510702869
4544,6/5/2017,706,2.5,2,2,47434,105284,0.450533794
4546,6/5/2017,706,2.5,3,2,59762,105348,0.567281771
4548,6/5/2017,706,5,1,2,24653,105341,0.234030434
4550,6/5/2017,706,5,2,2,11116,105059,0.105807213
4552,6/5/2017,706,5,3,2,12176,105616,0.115285563
4554,6/5/2017,711,0,1,2,33217,105054,0.316189769
4556,6/5/2017,711,0,2,2,32244,105077,0.306860683
4558,6/5/2017,711,0,3,2,10415,105194,0.099007548
4560,6/5/2017,711,0.5,1,2,66935,105213,0.636185642
4562,6/5/2017,711,0.5,2,2,61784,105216,0.587211071
4564,6/5/2017,711,0.5,3,2,73210,105186,0.696005172
4566,6/5/2017,711,1.25,1,2,38833,105224,0.369050787
4568,6/5/2017,711,1.25,2,2,31837,105157,0.30275683
4570,6/5/2017,711,1.25,3,2,28373,105331,0.269369891
4572,6/5/2017,711,1.7,1,2,24470,105105,0.232814804
4574,6/5/2017,711,1.7,2,2,21179,105298,0.201133925
4576,6/5/2017,711,1.7,3,2,31169,105316,0.29595693
4578,6/5/2017,711,2.5,1,2,47582,105248,0.452094102
4580,6/5/2017,711,2.5,2,2,22543,105287,0.214110004
4582,6/5/2017,711,2.5,3,2,27734,105534,0.262796824
4584,6/5/2017,711,5,1,2,32718,105420,0.310358566
4586,6/5/2017,711,5,2,2,32523,105506,0.30825735
4588,6/5/2017,711,5,3,2,51129,105361,0.485274437
4420,5/26/2017,724,0,1,10,8768,106036,0.082688898
4386,5/26/2017,724,0,2,10,7548,106231,0.071052706
4386,5/26/2017,724,0,3,10,13686,106286,0.128765783
4392,5/26/2017,724,0.5,1,10,20303,106238,0.191108643
4394,5/26/2017,724,0.5,2,10,15737,106145,0.148259456
4396,5/26/2017,724,0.5,3,10,19724,105976,0.186117612
4398,5/26/2017,724,1.25,1,10,,,
4400,5/26/2017,724,1.25,2,10,,,
4402,5/26/2017,724,1.25,3,10,,,
4404,5/26/2017,724,1.7,1,10,,,
4406,5/26/2017,724,1.7,2,10,,,
4408,5/26/2017,724,1.7,3,10,,,
4410,5/26/2017,724,2.5,1,10,,,
4412,5/26/2017,724,2.5,2,10,,,
4414,5/26/2017,724,2.5,3,10,,,
4416,5/26/2017,724,5,1,10,,,
4418,5/26/2017,724,5,2,10,,,
4420,5/26/2017,724,5,3,10,,,
4271,5/26/2017,812,0,1,4,,,
4174,5/26/2017,812,0,2,4,,,
4282,5/26/2017,812,0,3,4,,,
4176,5/26/2017,812,0.5,1,4,,,
4178,5/26/2017,812,0.5,2,4,,,
,5/26/2017,812,0.5,3,4,,,
,5/26/2017,812,1.25,1,4,,,
,5/26/2017,812,1.25,2,4,,,
,5/26/2017,812,1.25,3,4,,,
,5/26/2017,812,1.7,1,4,,,
,5/26/2017,812,1.7,2,4,,,
,5/26/2017,812,1.7,3,4,,,
,5/26/2017,812,2.5,1,4,,,
,5/26/2017,812,2.5,2,4,,,
,5/26/2017,812,2.5,3,4,,,
,5/26/2017,812,5,1,4,,,
,5/26/2017,812,5,2,4,,,
,5/26/2017,812,5,3,4,,,
