Collection,Plate_Date,Count_Date,Rpf_Date,StockRpf (mg/mL),Soil,Concentration,Rep,Days_Incubated,Colonies,Unique Colonies,IMG,Dilution,Inoculate (mL),CFU/mL,StdCFU,Log10,StdUC
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,1,2,221,4,4422,1.00E-03,0.1,2210000,4062500,6.608793374,7.352941176
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,2,2,263,4,4424,1.00E-03,0.1,2630000,4834558.82,6.684356849,7.352941176
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,3,2,281,3,4426,1.00E-03,0.1,2810000,5165441.18,6.71310742,5.514705882
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,4,2,312,5,4428,1.00E-03,0.1,3120000,5735294.12,6.758555694,9.191176471
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,5,2,224,5,4430,1.00E-03,0.1,2240000,4117647.06,6.614649119,9.191176471
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,1,2,331,3,4432,1.00E-03,0.1,3310000,5953237.41,6.774753202,5.395683453
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,2,2,336,7,4434,1.00E-03,0.1,3360000,6043165.47,6.781264486,12.58992806
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,3,2,314,6,4436,1.00E-03,0.1,3140000,5647482.01,6.751854856,10.79136691
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,4,2,334,10,4438,1.00E-03,0.1,3340000,6007194.24,6.778671675,17.98561151
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,5,2,356,8,4440,1.00E-03,0.1,3560000,6402877.7,6.806375206,14.38848921
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,1,2,392,8,4442,1.00E-03,0.1,3920000,7063063.06,6.848993084,14.41441441
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,2,2,354,7,4444,1.00E-03,0.1,3540000,6378378.38,6.804710279,12.61261261
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,3,2,376,10,4446,1.00E-03,0.1,3760000,6774774.77,6.830894862,18.01801802
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,4,2,378,9,4448,1.00E-03,0.1,3780000,6810810.81,6.833198817,16.21621622
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,5,2,362,10,4450,1.00E-03,0.1,3620000,6522522.52,6.814415587,18.01801802
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,1,2,333,9,4452,1.00E-03,0.1,3330000,6235955.06,6.794902976,16.85393258
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,2,2,286,12,4454,1.00E-03,0.1,2860000,5355805.24,6.728824776,22.47191011
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,3,2,371,12,4456,1.00E-03,0.1,3710000,6947565.54,6.841832653,22.47191011
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,4,2,366,13,4458,1.00E-03,0.1,3660000,6853932.58,6.835939828,24.34456929
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,5,2,408,12,4460,1.00E-03,0.1,4080000,7640449.44,6.883118906,22.47191011
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,1,2,431,15,4462,1.00E-03,0.1,4310000,7628318.58,6.882428822,26.54867257
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,2,2,436,14,4464,1.00E-03,0.1,4360000,7716814.16,6.887438041,24.77876106
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,3,2,394,15,4466,1.00E-03,0.1,3940000,6973451.33,6.843447774,26.54867257
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,4,2,477,12,4468,1.00E-03,0.1,4770000,8442477.88,6.926469931,21.23893805
